mni108,mokr,return,ser1,serd,ss,y,tkk2,wacf2,mod7,mod2,mod1,conc,duemp,mni79,mni86
10.49,34.77966,0.001088,17.4,8.3,-83.83,0.007574,37.5,-1.444966509,0.439313,-0.014713,-0.556728773969948,16.5,-0.04,87.6,347
13.27,36.19277,0.001265,17.4,8.4,57.13,0.015243,38,2.115431,2.386639,3.399893,2.9603385791303,16.4,-0.13,81.8,397
13.71,37.71884,0.001142,17.1,8.7,249.09,0.019188,37,-1.734603335,1.108127,0.585162,1.21194111966667,16.6,0,68.9,346
13.02,38.73175,0.003824,17.6,8.8,347.06,0.004416,37,1.125785142,0.419734,1.973162,-0.109976216618322,16.5,0.03,77.8,339
12.89,38.99681,0.002432,17.7,8.8,103.02,0.011853,37,-0.563058923,0.629303,1.479384,1.58510138262834,16.7,0.14,75.5,368
12.88,39.864,0.001771,17.4,9.2,-133.02,-0.006167,37,0.259785217,-0.204351,1.295767,0.184127189811818,16.4,0,80.4,350
14.2,40.72035,0.001,17.8,9.6,-116.06,-0.024525,40,0.170977507,0.69735,2.052334,-0.189637267213605,16.4,0.6,80.1,390
13.42,40.88852,-0.003897,17.6,9,248.91,-0.005562,37,-0.858875324,-1.262243,-0.126683,-1.63552044926151,16.2,0.6,85.3,350
13.31,38.73932,0.001125,17.5,8.8,446.87,-0.003725,38,0.263481501,-1.298019,0.56406,-1.46735612497414,16.4,0.4,100.7,343
12.01,36.40473,0.00418,16.5,8.6,141.83,-0.021831,38,-0.971570698,-2.562499,-1.497437,-1.30802864948139,16.3,0.66,99.8,355
11.39,36.88997,0.004488,17.8,8.6,51.79,0.019161,38,0.59581805,-1.651282,-0.267523,-2.19620075084863,16.4,0.1,94.1,342
13.51,33.88024,0.000464,17.3,8.8,261.76,0.009047,38,-0.492894036,-1.111016,-1.13419,0.388649672212109,17,-0.03,94.6,379
11.09,30.72608,0.001503,17.3,8.8,255.72,0.003174,38,0.408373743,-0.345148,-0.385987,1.44141032768241,16.9,0.13,89.3,349
12.39,31.41925,0.001786,17.1,8.6,-16.32,0.022713,38,-0.488056997,-0.387237,-1.193846,-0.476053022926413,17.1,-0.1,81.8,354
11.83,25.33065,0.002065,17.4,8.6,-3.36,0.04171,37,1.487696386,2.154057,1.685542,2.72239071258304,17.1,-0.16,79.3,312
11.1,31.6875,-0.000343,16.9,8.4,148.61,0.018885,37,-2.061398463,-0.673872,-2.241067,-0.471645045921672,16.7,-0.07,59.6,356
11.4,30.50962,0.000915,17.3,8.3,356.57,0.012554,37,1.280880282,-0.565154,-0.004811,-1.23295329603838,16.9,-0.13,93.2,378
10.3,30.81817,0,17.6,8.4,266.53,0.034429,39,-2.313494598,-3.425744,-4.14729,-3.54900049640654,16.5,-0.2,72.5,365
11,32.28391,0.001198,16.9,8.3,39.49,0.028338,38,2.574630679,-0.243458,0.614844,-0.070082108876173,17.2,-0.44,84.3,382
11.9,29.74031,0.000569,16.7,8.3,71.46,0.007855,36.5,-2.699586362,-1.973611,-4.059898,-0.502433282586899,16.4,0,85.5,357
10,29.19634,0.0021,16.8,8.1,69.42,0.008681,35,1.832879117,-1.003928,-1.035169,0.025567069676593,17,-0.13,95.7,373
8.5,30.79716,0.003385,16.8,8.2,96.38,0.01474,38,-1.087446454,-0.090281,-2.291248,0.108736355366297,17,-0.03,93,365
9.2,35.45922,0.001458,17.2,8.3,239.34,-0.009215,37,1.10331304,0.615508,-0.716156,0.407589483754225,16.7,0.36,72.7,337
10.7,38.71955,0.000448,16.8,8.5,405.31,0.000881,35,-0.445346053,1.365092,-0.872496,2.16358267210741,16.2,0.07,78.1,396
12.3,39.68436,0.001006,17.6,8.1,186.27,-0.004193,32,0.654147726,1.419446,-0.080067,0.590248852259889,16.6,0.43,74.3,308
12.3,40.97554,0.001671,17.2,8.1,-90.77,-0.040389,36,-1.209243168,-0.51221,-1.998611,-1.54743885478379,16.9,0.97,79.8,356
11.6,41.18052,0.001776,16.6,7.9,10.19,-0.068122,35.5,0.409525264,-1.360973,-1.571507,-2.10151648545474,16.5,1.67,65.1,372
11.6,41.94501,0.003749,17.1,8.3,365.16,-0.01365,35,0.019377029,-0.372823,-1.019334,0.434948827946551,16.6,0.6,94.6,363
10.6,42.08257,0.005889,16.9,8.1,256.12,0.02468,36,0.145816589,-0.033528,-0.981286,-0.356052930271402,16.6,-0.4,82.4,377
11.7,41.72684,-0.000108,16.6,8.1,-24.92,0.021226,37,-0.586572131,-0.758972,-1.849629,0.970489607684285,17,-0.17,90.3,379
12.5,42.22411,-0.000488,18,8.1,40.04,0.030092,37,0.348783763,-0.552575,-1.297774,-1.7618442576667,17.1,-0.57,86.9,349
12,42.5428,0.000704,17.2,8.4,-141.99,0.012886,37,-0.213259175,-0.28984,-1.422759,0.152168859263621,17.1,-0.16,96.4,365
13.5,40.6505,0.001945,17.3,8.7,95.97,0.012947,39,0.449506164,0.454157,-0.635196,-0.621449130689919,16.7,0.16,108.8,396
11.7,38.93471,0.000269,17,9,304.93,0.018115,37,-0.290247433,0.41834,-0.984256,-1.3145720740822,16.8,0.04,104.9,355
11.1,37.6563,0.000215,16.9,9.3,197.89,0.01975,36,-0.223282684,-0.552992,-1.552449,-0.477564859191909,16.3,-0.27,83.6,352
9.3,37.20557,0.001344,17.3,9.3,-17.14,0.030811,35,1.121049105,1.601187,0.885377,2.0611759886721,16.6,-0.37,90.4,413
7.7,32.18206,0.001447,16.8,9.5,-255.18,0.011105,35,-0.653240223,1.093525,-0.422441,1.65797472540005,16.8,-0.23,83.4,364
11,27.90539,0.002348,17.3,9.3,147.78,0.006646,35,0.558711624,1.049837,0.607515,0.911051543257691,16.9,-0.23,93.2,383
9.5,26.02363,0.000532,17.4,9.5,173.74,-0.002902,34,-0.032048721,1.253227,0.655635,0.318713542762913,17.1,-0.34,70.7,414
11,25.14425,0.000743,17.7,9.5,89.71,0.038885,35,0.456642832,1.479884,1.418395,1.21837426710916,16.8,-0.33,71.7,420
10.3,24.90633,0.000106,16.8,9.5,193.67,0.008945,38,-0.683579999,0.144088,0.106092,0.554969413912676,17,0.03,77.4,402
7.9,25.29877,0.00143,16.9,9.5,225.63,0.018043,38,0.085268153,-0.805816,0.090903,-2.11757645049997,17.2,-0.13,70.8,414
8.4,24.5782,0.000687,17,9.5,241.59,0.004267,37,0.487379875,0.441122,1.203634,0.169560646186538,17.3,-0.03,85.8,412
9.3,24.20726,0.000369,16.9,9.5,168.56,-0.001743,35,-0.990493273,-1.170599,-0.89682,-1.14824849971537,17.2,-0.17,75.6,394
14,25.32302,-0.000158,17,9.9,268.52,-0.003107,37,0.012948564,-1.894804,-0.895712,-0.996176349634021,17.3,0.17,77.3,343
13,27.37012,0.001054,16.6,9.5,-24.52,0.003688,36,0.345303599,-0.558421,-0.095591,0.578560827042684,17.2,0.1,76.4,413
9.1,28.53575,0.001733,16.7,9.7,115.44,0.003868,38,0.042960202,0.214355,-0.007711,0.92077681096347,17.2,0.33,64.3,384
13.2,30.56344,0.001361,16.8,9.1,305.41,-0.042585,37.5,1.068476018,2.580142,2.137232,1.59312628852624,17.5,1.03,71.7,482
12,31.69061,0.001669,16.7,9.1,-5.63,-0.016244,37,-0.132903501,2.888381,1.865804,2.49405121974874,16.9,0.34,75.3,414
10.3,33.75999,0.000416,16.4,8.9,241.33,0.037763,37,0.758274751,3.221252,3.173127,3.27732160013828,16.9,-0.27,64.5,417
12.4,35.39728,0.00192,16.5,9.3,369.29,0.002363,35,-0.550139612,1.785234,2.053648,1.14040855083694,16.9,0.03,45.5,364
,34.74782,0.000414,16.4,9.1,192.26,0.003338,35,0.441087122,0.961142,2.63387,0.575914302699264,17,-0.03,,452
,36.75014,0.001549,16.6,9.1,97.22,0.009364,37,-0.126018982,0.647069,2.418029,-0.986270947931319,16.5,0,,
,37.28448,-0.001756,16.5,9.3,227.18,-0.022385,35,0.088057817,0.133201,2.3018,-0.339047103144243,16.7,0.83,,
,35.76993,0.000517,16.7,9.5,277.14,-0.020665,35,-0.597783787,-1.050889,1.098305,-1.29060846901879,16.8,0.6,,
,33.2045,0.004167,16.4,9.3,236.11,-0.012443,35,-0.409176046,-2.403024,0.056115,-2.63886285197825,16.7,0.6,,
,33.25574,0.001176,16.4,9.3,286.07,-0.014056,34,0.741506534,-0.609999,1.608368,-0.436678949870758,16.7,0.47,,
,31.75393,0.000765,16.2,9.3,128.03,-0.0187,33,-0.371092978,-0.131202,0.805178,0.954238869405147,16.6,0.77,,
,31.33199,-0.000204,16.4,9.9,114.99,0.011388,35,0.605827459,0.91091,1.9048,0.280517689998001,16.5,-0.3,,
,31.58664,0.000713,16.3,9.7,141.96,0.021983,33,-0.377925374,0.764688,1.158058,1.01914822034309,17,-0.24,,
,30.8555,0.001169,16.4,9.1,217.92,0.033286,34.5,-0.211125166,-0.436165,0.53804,-0.508348973553099,16.7,-0.76,,
,30.04243,0.001369,17,9.3,311.88,0.025467,36,0.787997724,0.990868,2.156444,0.133354948276945,16.7,-0.84,,
,29.10158,0.001566,16.9,9.5,147.84,0.029352,37,-0.786004764,-0.055949,0.496704,-0.543708935934223,16.9,-0.66,,
,28.07867,0.001661,17.1,9.4,-48.19,0.015285,36,0.208842928,-0.58249,0.76893,-1.0866838729575,17.4,-0.44,,
,27.90951,0.000352,17.1,9,24.77,0.007372,35.5,-0.57763844,-1.321737,-0.31965,-0.055592909241453,17.1,0,,
,28.17725,0,16.7,9,44.73,0.000734,35,0.247614385,-1.195169,0.045328,-1.75303233986069,17,-0.13,,
,28.50236,0.001553,16.9,8.8,-134.31,0.002749,36,-0.424772262,-1.198795,-0.668051,0.036296176471032,16.8,-0.07,,
,27.56913,0.0005,16.5,9,104.66,0.000914,36,,-1.097879,-0.625675,-2.08334040947382,,0.07,,
,27.04938,-0.0002,17.2,8.8,251.62,-0.00183,35,,0.299765,0.256659,1.85799545648715,,-0.1,,
,26.6803,-5.00E-05,16.4,8.6,-19.42,0.006026,35,,0.683273,0.126566,1.52659507760208,,-0.17,,
,26.71412,0.001696,,8.6,24.54,0.005809,36,,0.012861,-0.40333,-1.98072997055161,,0,,
,27.32978,0.001739,,8,214.51,-0.005809,32,,1.388112,1.31291,-0.34275825578925,,0.14,,
,31.18464,0.001979,,8,-23.53,0.003997,33,,-1.200963,-1.780685,-2.30120887191993,,-0.2,,
,33.73027,0.001774,,8,-283.57,0.011,33,,0.22514,1.113472,-0.811605016057856,,-0.14,,
,35.08025,0.002891,,8,-122.61,0.013184,33,,-0.521517,-1.140057,-0.347170804426648,,-0.23,,
,35.1132,0.002241,,8.6,30.36,0.017718,33,,0.066204,0.59316,-0.532205297666919,,-0.33,,
,34.62955,0.003918,,8,41.32,0.017751,33,,-0.770284,-1.333462,-1.02644889088456,,-0.27,,
,35.39808,0.001634,,8,81.28,0.024134,33,,-0.817192,-0.401075,-1.33457840559,,-0.17,,
,36.60345,0.000815,,8,-18.76,0.008964,35,,0.273427,-0.164318,-0.780713540478371,,-0.13,,
,36.42995,-9.58E-05,,7.6,-163.79,0.008393,35.5,,0.930377,0.489429,2.16299963268957,,-0.23,,
,35.257,0.00153,,8.6,-20.83,0.004415,36,,1.139729,0.439279,1.63693931662104,,0,,
,32.45865,0.002617,,9.6,123.13,0.006829,37,,1.392623,1.121825,0.921019624983385,,-0.14,,
,32.88709,0.001184,,9.6,112.09,0.004366,37,,2.368806,2.162485,3.09583648850467,,-0.13,,
,33.23283,,,10,130.06,-0.003556,38,,1.538896,1.521689,0.448732045276091,,0.03,,
,33.63567,,,9.4,-98.98,-0.006498,37,,1.55368,2.407072,1.13982631229652,,0,,
,33.04128,,,9.3,-119.02,0.003904,36,,2.463694,3.399433,1.73569031833744,,0.14,,
,32.82699,,,9.2,259.94,0.006956,37.5,,0.899247,2.02928,2.47770707121293,,-0.07,,
,32.76239,,,9.5,312.91,0.007548,39,,1.669901,3.823734,1.79763890123549,,0.03,,
,32.27116,,,9.5,127.87,0.004151,37,,0.665566,2.328748,1.06471292997891,,0.37,,
,31.44232,,,9.5,35.83,-0.0159,35,,1.627954,4.283404,1.68300373468807,,0.43,,
,30.80248,,,9.9,11.79,-0.019288,35.5,,0.464811,2.338505,-0.030931522557564,,0.47,,
,29.71723,,,9.9,144.76,0.006088,36,,-0.354933,2.686267,-1.96855008839856,,0.23,,
,29.703,,,9.5,213.72,0.013524,36,,0.665898,3.250201,0.881629410523631,,0.04,,
,29.43893,,,9.3,49.68,0.00194,36,,-0.412822,1.948605,0.51195863687465,,0.23,,
,27.86585,,,9.5,29.64,-0.001131,36.5,,0.531668,3.198774,0.144789334882088,,0.27,,
,15.27061,,,9.5,150.61,0.017473,37,,0.595862,2.54955,0.706061078564547,,0.23,,
,16.68571,,,9.1,146.57,0.007125,37,,0.170392,2.432614,-0.944873671445936,,0.03,,
,17.46484,,,9.3,153.53,0.010047,36,,-0.342732,1.830442,-0.554862410838001,,-0.26,,
,15.50402,,,9.5,219.49,0.008554,37,,-1.622453,0.702926,-0.629095664814308,,-0.24,,
,17.95921,,,9.3,-10.54,0.002629,37,,1.079107,3.414852,0.693463903838132,,-0.06,,
,20.29131,,,9.1,-196.58,0.004931,37,,-0.282879,0.60853,-0.152141032339618,,-0.27,,
,21.15794,,,9.3,25.38,0.014799,37.5,,0.485002,2.598232,0.56083248257497,,-0.17,,
,21.28767,,,9.1,335.34,0.012492,38,,-0.264157,0.711357,-1.35092205372344,,-0.06,,
,21.68255,,,9.5,,0.018083,37,,2.856865,4.796401,3.62446831519852,,-0.37,,
,20.36408,,,9.4,,0.012553,37,,2.53058,2.709209,4.20432711439991,,-0.2,,
,19.94253,,,9.5,,0.019535,37.5,,2.770401,4.78023,0.45898509070611,,-0.37,,
,20.27931,,,9.6,,0.0123,38,,2.652108,4.184656,2.72425811476463,,-0.16,,
,21.12612,,,10.2,,0.002946,39,,1.561889,4.370963,0.274420465476073,,0.2,,
,21.89969,,,9.8,,0.009343,39,,1.299243,4.34541,1.00825034582764,,0,,
,22.08531,,,9.6,,0.007742,38.5,,0.181958,3.679136,0.546231406695023,,-0.1,,
,22.47708,,,9.6,,0.006589,38,,-1.182638,2.556526,-1.23963605342183,,-0.04,,
,23.42384,,,9.4,,0.020851,39,,0.451909,4.353386,0.900804670213722,,-0.03,,
,23.20417,,,9.4,,0.013443,38,,-0.335852,2.371358,0.338672019816749,,-0.23,,
,22.97662,,,9.4,,0.013003,38,,-1.146892,2.215766,-1.28962266040306,,0.06,,
,22.66668,,,9.4,,0.018489,38,,0.033256,2.867358,0.897578323615655,,-0.1,,
,22.90646,,,9.6,,0.015634,37,,0.638702,2.90879,1.53124779960796,,-0.23,,
,24.64594,,,9.6,,0.023187,37,,0.983536,3.017064,1.17080929878445,,-0.13,,
,29.15005,,,9.4,,0.023986,37,,,,,,-0.2,,
,29.9004,,,9.4,,0.010889,38,,,,,,-0.04,,
,30.92746,,,9,,0.007115,37,,,,,,-0.23,,
,31.85634,,,9.4,,0.007299,38,,,,,,0.13,,
,32.46163,,,9.4,,0.013168,39,,,,,,-0.1,,
,31.94593,,,9.6,,0.010021,39,,,,,,-0.13,,
,31.35055,,,9.4,,0.009581,37,,,,,,-0.03,,
,30.70215,,,9.2,,0.009828,37,,,,,,-0.04,,
,31.04003,,,8.8,,0.018157,37,,,,,,-0.16,,
,31.45667,,,8.8,,0.011633,37,,,,,,-0.04,,
,31.49146,,,9.2,,0.011176,37,,,,,,-0.1,,
,31.80032,,,9.2,,-0.001404,36,,,,,,0.07,,
,32.05198,,,9.6,,-0.003355,36,,,,,,-0.1,,
,31.71102,,,9.6,,-0.014414,37,,,,,,,,
,31.19732,,,9.8,,-0.013732,37,,,,,,,,
,29.8504,,,9.8,,-0.01415,37,,,,,,,,
,29.12803,,,10,,-0.011603,37,,,,,,,,
,27.70627,,,10,,0.006501,39,,,,,,,,
,26.70191,,,9.4,,0.015901,38,,,,,,,,
,27.06018,,,9.8,,0.005912,37,,,,,,,,
,28.32326,,,8.8,,-0.00089,37,,,,,,,,
,30.88359,,,8.8,,0.007762,38,,,,,,,,
,32.48709,,,8.8,,-0.007985,37,,,,,,,,
,32.80853,,,8.8,,0.004666,38,,,,,,,,
,33.39347,,,9.6,,0.007948,38,,,,,,,,
,34.29172,,,9.6,,0.007012,36,,,,,,,,
,35.17116,,,9.6,,0.004249,39,,,,,,,,
,35.28352,,,9.2,,0.005529,36,,,,,,,,
,35.0516,,,9.2,,0.014064,39,,,,,,,,
,32.02369,,,9,,0.01429,37,,,,,,,,
,30.8683,,,9,,0.004509,37,,,,,,,,
,30.51516,,,9,,-0.003879,37,,,,,,,,
,30.65931,,,9.4,,0.007846,35,,,,,,,,
,30.53474,,,9,,0.009954,39,,,,,,,,
,31.69807,,,9,,0.006274,40,,,,,,,,
,31.24121,,,9.4,,0.003684,35,,,,,,,,
,30.80863,,,9.4,,0.001429,35,,,,,,,,
,30.10215,,,9.6,,0.009947,36,,,,,,,,
,26.10927,,,9.4,,0.011149,38,,,,,,,,
,22.20044,,,9.6,,0.002394,37,,,,,,,,
,25.03368,,,9.6,,0.001494,38,,,,,,,,
,25.81998,,,9.6,,-0.002889,40,,,,,,,,
,27.86232,,,10,,-0.01508,38,,,,,,,,
,32.43439,,,10,,-0.03358,39,,,,,,,,
,34.56494,,,9.6,,-0.043243,38,,,,,,,,
,34.95517,,,9.2,,-0.054626,37,,,,,,,,
,34.68258,,,9.2,,-0.03014,39,,,,,,,,
,34.18163,,,9.2,,0.012306,40,,,,,,,,
,35.14719,,,9,,0.01355,38,,,,,,,,
,34.7521,,,9,,0.018963,38,,,,,,,,
,34.70432,,,9.6,,0.020731,39,,,,,,,,
,35.62353,,,9.8,,0.01593,39,,,,,,,,
,34.54955,,,10.2,,0.005472,38,,,,,,,,
,30.16719,,,10,,,38,,,,,,,,
,30.80482,,,10,,,39,,,,,,,,
,31.2757,,,10,,,39,,,,,,,,
,31.38339,,,9.4,,,40,,,,,,,,
,32.0581,,,9.2,,,40,,,,,,,,
,31.55286,,,9.6,,,40,,,,,,,,
,31.08232,,,9.7,,,40,,,,,,,,
,30.39583,,,9.7,,,37,,,,,,,,
,29.40598,,,9.8,,,39,,,,,,,,
,27.5857,,,9.8,,,38,,,,,,,,
,25.46162,,,9.8,,,40,,,,,,,,
,21.68199,,,10,,,,,,,,,,,
,17.88833,,,10,,,,,,,,,,,
,18.37589,,,8.6,,,,,,,,,,,
,20.64634,,,9,,,,,,,,,,,
,22.03033,,,9.4,,,,,,,,,,,
,24.1175,,,9.4,,,,,,,,,,,
,27.58042,,,9.4,,,,,,,,,,,
,27.83797,,,9.4,,,,,,,,,,,
,29.19695,,,9.4,,,,,,,,,,,
,30.64215,,,9.6,,,,,,,,,,,
,31.12142,,,10,,,,,,,,,,,
,31.97567,,,10,,,,,,,,,,,
,30.70637,,,9.8,,,,,,,,,,,
,27.79012,,,9.8,,,,,,,,,,,
,25.59772,,,9.7,,,,,,,,,,,
,24.44313,,,9.6,,,,,,,,,,,
,25.4328,,,9.4,,,,,,,,,,,
,25.02296,,,9.2,,,,,,,,,,,
,25.09579,,,9,,,,,,,,,,,
,25.26658,,,9.4,,,,,,,,,,,
,26.72663,,,9.6,,,,,,,,,,,
,28.52644,,,9.6,,,,,,,,,,,
,27.95184,,,9.6,,,,,,,,,,,
,26.36371,,,9.6,,,,,,,,,,,
,25.78603,,,9.6,,,,,,,,,,,
,26.59359,,,9.6,,,,,,,,,,,
,26.64786,,,9,,,,,,,,,,,
,24.03301,,,9.4,,,,,,,,,,,
,25.15962,,,9.4,,,,,,,,,,,
,28.40581,,,9.4,,,,,,,,,,,
,30.46098,,,9.6,,,,,,,,,,,
,31.27955,,,9.4,,,,,,,,,,,
,31.2534,,,9.6,,,,,,,,,,,
,31.88941,,,9.6,,,,,,,,,,,
,32.48334,,,9.8,,,,,,,,,,,
,31.67648,,,9.8,,,,,,,,,,,
,29.64537,,,9.8,,,,,,,,,,,
,27.87551,,,9.6,,,,,,,,,,,
,28.30653,,,9.2,,,,,,,,,,,
,28.38006,,,9.6,,,,,,,,,,,
,28.75841,,,9.2,,,,,,,,,,,
,27.9064,,,9.2,,,,,,,,,,,
,26.95149,,,9.6,,,,,,,,,,,
,26.21507,,,9.6,,,,,,,,,,,
,25.19785,,,9.6,,,,,,,,,,,
,23.18045,,,9.6,,,,,,,,,,,
,21.5563,,,9.6,,,,,,,,,,,
,18.28062,,,9.6,,,,,,,,,,,
,18.58456,,,10,,,,,,,,,,,
,20.21548,,,10,,,,,,,,,,,
,23.61098,,,10.4,,,,,,,,,,,
,27.0313,,,10.4,,,,,,,,,,,
,28.43121,,,9.8,,,,,,,,,,,
,29.70785,,,9,,,,,,,,,,,
,30.85246,,,9.6,,,,,,,,,,,
,32.21493,,,9.8,,,,,,,,,,,
,32.23019,,,9.6,,,,,,,,,,,
,33.28637,,,8.6,,,,,,,,,,,
,31.27663,,,8,,,,,,,,,,,
,29.54192,,,8,,,,,,,,,,,
,27.47351,,,8,,,,,,,,,,,
,26.35197,,,8,,,,,,,,,,,
,26.84029,,,8.4,,,,,,,,,,,
,26.53585,,,8.8,,,,,,,,,,,
,25.21418,,,8.4,,,,,,,,,,,
,24.25467,,,8.4,,,,,,,,,,,
,23.41771,,,9,,,,,,,,,,,
,22.57686,,,9,,,,,,,,,,,
,21.65928,,,9.4,,,,,,,,,,,
,20.43523,,,10,,,,,,,,,,,
,18.35054,,,10,,,,,,,,,,,
,15.92319,,,10,,,,,,,,,,,
,14.43643,,,10.2,,,,,,,,,,,
,13.87565,,,10,,,,,,,,,,,
,13.02704,,,10,,,,,,,,,,,
,14.73454,,,9.6,,,,,,,,,,,
,19.23705,,,9,,,,,,,,,,,
,21.08686,,,9,,,,,,,,,,,
,22.52587,,,8.6,,,,,,,,,,,
,23.18098,,,9,,,,,,,,,,,
,22.1131,,,9.6,,,,,,,,,,,
,21.10551,,,9.6,,,,,,,,,,,
,21.195,,,9,,,,,,,,,,,
,19.31286,,,9,,,,,,,,,,,
,19.63195,,,8.9,,,,,,,,,,,
,19.02912,,,8.8,,,,,,,,,,,
,18.98689,,,8.7,,,,,,,,,,,
,,,,8.6,,,,,,,,,,,
,,,,8.3,,,,,,,,,,,
,,,,7.9,,,,,,,,,,,
,,,,8.5,,,,,,,,,,,
,,,,8.7,,,,,,,,,,,
,,,,8.9,,,,,,,,,,,
,,,,9.1,,,,,,,,,,,
,,,,9.1,,,,,,,,,,,
,,,,9.1,,,,,,,,,,,
